ControlParameters:
  0.0000000000e+00
SharedParameters:
  8.0000000000e-01,  1.0000000000e+00
IntegerSharedParameters:

Accessories:

IntegerAccessories:
                 0

Time series:
  0.0000000000e+00,  1.0000000000e+00, -1.7931110400e-02
  1.0000000000e-02,  9.9933018890e-01, -1.1603111040e-01
  2.0000000000e-02,  9.9767937779e-01, -2.1413111040e-01
  3.0000000000e-02,  9.9504756669e-01, -3.1223111040e-01
  4.0000000000e-02,  9.9143475558e-01, -4.1033111040e-01
  5.0000000000e-02,  9.8684094448e-01, -5.0843111040e-01
  6.0000000000e-02,  9.8126613338e-01, -6.0653111040e-01
  7.0000000000e-02,  9.7471032227e-01, -7.0463111040e-01
  8.0000000000e-02,  9.6717351117e-01, -8.0273111040e-01
  9.0000000000e-02,  9.5865570006e-01, -9.0083111040e-01
  1.0000000000e-01,  9.4915688896e-01, -9.9893111040e-01
  1.1000000000e-01,  9.3867707786e-01, -1.0970311104e+00
  1.2000000000e-01,  9.2721626675e-01, -1.1951311104e+00
  1.3000000000e-01,  9.1477445565e-01, -1.2932311104e+00
  1.4000000000e-01,  9.0135164454e-01, -1.3913311104e+00
  1.5000000000e-01,  8.8694783344e-01, -1.4894311104e+00
  1.6000000000e-01,  8.7156302234e-01, -1.5875311104e+00
  1.7000000000e-01,  8.5519721123e-01, -1.6856311104e+00
  1.8000000000e-01,  8.3785040013e-01, -1.7837311104e+00
  1.9000000000e-01,  8.1952258902e-01, -1.8818311104e+00
  2.0000000000e-01,  8.0021377792e-01, -1.9799311104e+00
  2.1000000000e-01,  7.7992396682e-01, -2.0780311104e+00
  2.2000000000e-01,  7.5865315571e-01, -2.1761311104e+00
  2.3000000000e-01,  7.3640134461e-01, -2.2742311104e+00
  2.4000000000e-01,  7.1316853350e-01, -2.3723311104e+00
  2.5000000000e-01,  6.8895472240e-01, -2.4704311104e+00
  2.6000000000e-01,  6.6375991130e-01, -2.5685311104e+00
  2.7000000000e-01,  6.3758410019e-01, -2.6666311104e+00
  2.8000000000e-01,  6.1042728909e-01, -2.7647311104e+00
  2.9000000000e-01,  5.8228947798e-01, -2.8628311104e+00
  3.0000000000e-01,  5.5317066688e-01, -2.9609311104e+00
  3.1000000000e-01,  5.2307085578e-01, -3.0590311104e+00
  3.2000000000e-01,  4.9199004467e-01, -3.1571311104e+00
  3.3000000000e-01,  4.5992823357e-01, -3.2552311104e+00
  3.4000000000e-01,  4.2688542246e-01, -3.3533311104e+00
  3.5000000000e-01,  3.9286161136e-01, -3.4514311104e+00
